id,lat,lon,business_type,final_probability,base_business_score,sentiment_score,trends_demand_score,saturation_score,matched_sentiment_location,distance_to_sentiment_km
node/2296195347,43.06918499999999,-89.3923898,pharmacy,48.4,57.5,20.0,25.3,1.0,general madison,0.84
node/13270880290,43.0754897,-89.3856372,grocery store,48.3,45.1,32.0,25.0,0.0,downtown,0.21
node/2522840403,43.073012,-89.3986815,restaurant,48.3,35.0,39.7,30.0,0.0,general madison,0.2
node/5642484847,43.0749071,-89.3819968,late night food,48.2,33.3,50.0,12.0,0.0,capitol square,0.16
node/8773830624,43.128389899999995,-89.3611411,grocery store,48.2,51.8,25.0,25.0,1.0,east washington,5.54
way/37308634,43.074806106649646,-89.4441008496207,coffee shop,48.2,51.0,25.0,26.2,0.7,campus,2.57
node/591443374,43.0574728,-89.5049543,bar,48.2,41.0,30.6,35.0,0.0,west side,2.19
way/62164927,43.052617940773146,-89.47592550158006,bakery,48.2,38.8,40.0,20.6,0.7,west side,1.42
way/86579194,43.0542186082353,-89.50844628851435,pharmacy,48.2,56.6,20.0,25.3,1.0,junction,1.09
node/11165568572,43.0922149,-89.3599731,pharmacy,48.1,42.8,33.3,25.3,0.7,east washington,1.58
way/374720809,43.05761232897419,-89.50673069904921,bakery,48.1,38.5,40.0,20.6,0.0,west side,2.32
node/13270880290,43.0754897,-89.3856372,convenience store,48.1,37.5,50.0,2.5,0.0,downtown,0.21
way/105672012,43.1273028782192,-89.29562357000532,bar,48.1,45.9,25.3,35.0,0.7,east side,6.45
node/3240429353,43.0574313,-89.3989271,restaurant,48.1,47.2,26.7,30.0,0.7,monroe street,1.04
node/9929920560,43.0531595,-89.4844202,late night food,48.0,45.0,37.5,12.0,1.0,west side,1.36
node/956773581,43.0940178,-89.3414668,bar,48.0,54.2,16.9,35.0,1.0,east washington,1.93
way/433662536,43.06239599285799,-89.40046167839698,grocery store,48.0,57.8,18.1,25.0,1.0,general madison,1.19
node/4471944660,43.1086945,-89.3176002,bar,48.0,45.9,25.3,35.0,1.0,east side,3.88
way/987655471,43.05749205759648,-89.42806675954046,restaurant,48.0,46.9,26.7,30.0,0.7,monroe street,1.84
way/297754313,43.1132150211739,-89.34823242844925,bar,48.0,54.0,16.9,35.0,1.0,east washington,3.84
node/3245483866,43.05513059999999,-89.4999204,late night food,48.0,44.8,37.5,12.0,0.7,west side,1.96
way/103183617,43.0733723384285,-89.38325501338285,grocery store,48.0,43.9,32.0,25.0,0.0,downtown,0.09
node/5029100532,43.0939931,-89.3411095,bar,48.0,54.2,16.9,35.0,1.0,east washington,1.94
way/1134399617,43.0719294018631,-89.45223628239545,late night food,47.9,44.7,37.5,12.0,0.7,west side,2.38
way/37308634,43.074806106649646,-89.4441008496207,bakery,47.9,44.3,33.3,20.6,0.7,campus,2.57
way/1135060521,43.12621310768891,-89.3042274176044,late night food,47.9,62.0,20.0,12.0,1.0,east side,6.07
node/13270880290,43.0754897,-89.3856372,bar,47.8,45.1,25.0,35.0,0.0,capitol square,0.16
node/956773581,43.0940178,-89.3414668,bar,47.8,53.1,16.9,35.0,1.0,east washington,1.93
node/4925300456,43.0407409,-89.3953648,restaurant,47.8,46.2,26.7,30.0,1.0,monroe street,1.47
way/347311465,43.08226448792176,-89.37960634321263,convenience store,47.8,36.4,50.0,2.5,0.3,downtown,0.99
node/5029100532,43.0939931,-89.3411095,bar,47.8,53.1,16.9,35.0,1.0,east washington,1.94
