location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
atwood,grocery store,0.0,0.0,1.0,0.0,0.4832413494586944,1,True,43.0652,-89.3621
east washington,coworking space,0.0,0.0,1.0,0.0,0.9184898734092712,2,True,43.0789,-89.3532
marquette,bar,0.0,0.0,1.0,0.0,0.6282980144023895,2,True,43.08,-89.365
downtown,hardware store,0.0,0.0,1.0,0.0,0.7182881683111191,4,True,43.074,-89.384
west side,hardware store,0.0,0.0,1.0,0.0,0.5483179092407227,1,True,43.065,-89.48
east washington,convenience store,0.0,0.0,1.0,0.0,0.6163522005081177,1,True,43.0789,-89.3532
vilas,late night food,0.0,0.0,1.0,0.0,0.7728737592697144,1,True,43.055,-89.41
deforest,gym,0.0,0.0,1.0,0.0,0.7894518971443176,1,True,43.2478,-89.3473
deforest,coworking space,0.0,0.0,1.0,0.0,0.8588771820068359,1,True,43.2478,-89.3473
fitchburg,late night food,0.0,0.0,1.0,0.0,0.6718310713768005,1,True,42.9609,-89.4237
east washington,bar,0.1694915254237288,0.2372881355932203,0.5932203389830508,-0.0148104237297833,0.7409918055696002,59,False,43.0789,-89.3532
willy street,general business,0.1739130434782608,0.2391304347826087,0.5869565217391305,-0.0171465348938237,0.7316591098256733,46,False,43.0669,-89.3704
capitol square,general business,0.25,0.25,0.5,-0.0193880051374435,0.7246991097927094,8,True,43.0748,-89.3839
general madison,gym,0.216,0.264,0.52,-0.0208032118082046,0.7177889597415924,250,False,43.0731,-89.4012
fitchburg,pharmacy,0.2,0.3,0.5,-0.0236504793167114,0.7433837741613388,10,False,42.9609,-89.4237
west side,general business,0.1916666666666666,0.2416666666666666,0.5666666666666667,-0.0268554081519444,0.7093695198496183,120,False,43.065,-89.48
downtown,pharmacy,0.125,0.125,0.75,-0.0282028913497924,0.7760093957185745,8,True,43.074,-89.384
east washington,pharmacy,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.038120945294698,0.6999963919321696,3,True,43.0789,-89.3532
general madison,bar,0.2135523613963039,0.297741273100616,0.4887063655030801,-0.0407600303082985,0.7079724482197536,487,False,43.0731,-89.4012
east side,late night food,0.2,0.2,0.6,-0.0487973928451538,0.7818094849586487,5,True,43.075,-89.33
general madison,hardware store,0.2,0.2,0.6,-0.0499691367149353,0.6834346055984497,5,True,43.0731,-89.4012
campus,coworking space,0.1666666666666666,0.25,0.5833333333333334,-0.0541825592517852,0.7272360026836395,12,False,43.0766,-89.4125
willy street,late night food,0.2857142857142857,0.4285714285714285,0.2857142857142857,-0.0598086033548627,0.807387147630964,7,True,43.0669,-89.3704
east washington,general business,0.0851063829787234,0.2127659574468085,0.7021276595744681,-0.0801578157759727,0.7124896918205504,47,False,43.0789,-89.3532
general madison,coworking space,0.1034482758620689,0.2413793103448276,0.6551724137931034,-0.0867814195567164,0.7110315890147768,29,False,43.0731,-89.4012
hilldale,general business,0.1428571428571428,0.2857142857142857,0.5714285714285714,-0.0924067156655447,0.7048732468060085,7,True,43.073,-89.45
general madison,general business,0.1688654353562005,0.3113456464379947,0.5197889182058048,-0.0934789172105864,0.6895916796139488,379,False,43.0731,-89.4012
east side,gym,0.2,0.4,0.4,-0.0951994955539703,0.6642167329788208,10,False,43.075,-89.33
west side,pharmacy,0.5,0.5,0.0,-0.1133657544851303,0.5838188678026199,2,True,43.065,-89.48
general madison,grocery store,0.1813725490196078,0.3676470588235294,0.4509803921568627,-0.1249032927786602,0.7034354871686768,204,False,43.0731,-89.4012
general madison,pharmacy,0.2,0.4125,0.3875,-0.1450338985770941,0.7292234228923917,160,False,43.0731,-89.4012
deforest,bar,0.0,0.3333333333333333,0.6666666666666666,-0.1649440427621205,0.7010205090045929,3,True,43.2478,-89.3473
east side,grocery store,0.0,0.25,0.75,-0.1825873404741287,0.8247517645359039,4,True,43.075,-89.33
general madison,convenience store,0.135593220338983,0.423728813559322,0.4406779661016949,-0.1890633803302958,0.7086813389244726,59,False,43.0731,-89.4012
monona,gym,0.0,0.5,0.5,-0.250542402267456,0.6352097988128662,2,True,43.062,-89.334
general madison,urgent care,0.1304347826086956,0.5217391304347826,0.3478260869565217,-0.2701982389325681,0.6869882915330969,23,False,43.0731,-89.4012
vilas,general business,0.0,0.5,0.5,-0.2956449687480926,0.6141003668308258,2,True,43.055,-89.41
general madison,daycare,0.0,0.4,0.6,-0.3057205200195312,0.7365741848945617,5,True,43.0731,-89.4012
marquette,general business,0.0,0.5,0.5,-0.3580674231052398,0.7150770425796509,2,True,43.08,-89.365
campus,urgent care,0.0,0.5,0.5,-0.4074295163154602,0.7553194165229797,2,True,43.0766,-89.4125
