location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
atwood,urgent care,0.0,0.0,1.0,0.0,0.7220779061317444,2,True
camp randall,bakery,0.0,0.0,1.0,0.0,0.7841866612434387,1,True
verona,coffee shop,0.0,0.0,1.0,0.0,0.649202823638916,1,True
waunakee,general business,0.0,0.0,1.0,0.0,0.684102455774943,3,True
tenney,coffee shop,0.0,0.0,1.0,0.0,0.6842732429504395,1,True
camp randall,urgent care,0.0,0.0,1.0,0.0,0.5261685848236084,1,True
atwood,late night food,0.0,0.0,1.0,0.0,0.8043442815542221,4,True
campus,daycare,0.0,0.0,1.0,0.0,0.940886616706848,1,True
sun prairie,daycare,0.0,0.0,1.0,0.0,0.605846107006073,1,True
south side,general business,0.0,0.0,1.0,0.0,0.672633022069931,2,True
south side,bakery,0.0,0.0,1.0,0.0,0.9201607704162598,1,True
park street,coworking space,0.0,0.0,1.0,0.0,0.7127484679222107,1,True
campus,convenience store,0.0,0.0,1.0,0.0,0.8935574889183044,1,True
north side,restaurant,0.0,0.0,1.0,0.0,0.7745001912117004,1,True
north side,late night food,0.0,0.0,1.0,0.0,0.7998959422111511,1,True
monona,coworking space,0.0,0.0,1.0,0.0,0.5128817558288574,2,True
monona,general business,0.0,0.0,1.0,0.0,0.6325750052928925,2,True
vilas,daycare,0.0,0.0,1.0,0.0,0.5534713268280029,1,True
cottage grove,urgent care,0.0,0.0,1.0,0.0,0.8854931592941284,1,True
isthmus,grocery store,0.0,0.0,1.0,0.0,0.6587581634521484,1,True
atwood,coworking space,0.0,0.0,1.0,0.0,0.8007954657077789,2,True
fitchburg,coworking space,0.0,0.0,1.0,0.0,0.8215934634208679,1,True
west side,gym,0.0,0.0,1.0,0.0,0.727702283859253,10,False
fitchburg,bar,0.0,0.0,1.0,0.0,0.6424916982650757,2,True
fish hatchery,gym,0.0,0.0,1.0,0.0,0.8020377159118652,1,True
hilldale,bar,0.0,0.0,1.0,0.0,0.4775194525718689,1,True
